,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle
3116,3116,technosat,42829,59559.85389989568,2459560.353899896,-6298.273523467145,-2994.2601477716453,13.290239723789057
3117,3117,technosat,42829,59559.85389989568,2459560.353899896,-6298.273523467145,-2994.2601477716453,13.290239723789057
3118,3118,technosat,42829,59560.122266562656,2459560.6222665627,-6285.114929381188,-3022.140538909146,13.267775255061531
3119,3119,technosat,42829,59560.39063312486,2459560.890633125,-6271.830629763457,-3049.962586091906,13.240906040927202
3120,3120,technosat,42829,59560.52481640037,2459561.0248164004,-6265.143969911349,-3063.846279041476,13.224044638493757
3121,3121,technosat,42829,59560.860274618026,2459561.360274618,-6248.286826760789,-3098.513987516203,13.191170265685548
3122,3122,technosat,42829,59560.860274618026,2459561.360274618,-6248.286826760789,-3098.513987516203,13.191170265685548
3123,3123,technosat,42829,59561.12864121515,2459561.628641215,-6234.6646766491285,-3126.176195603196,13.150229468154778
3124,3124,technosat,42829,59561.19573288178,2459561.695732882,-6231.24235465996,-3133.078019188976,13.154919254871707
3125,3125,technosat,42829,59561.53119099559,2459562.031190996,-6213.99914259516,-3167.556765156065,13.127494068251895
3126,3126,technosat,42829,59561.53119099559,2459562.031190996,-6213.99914259516,-3167.556765156065,13.127494068251895
3127,3127,technosat,42829,59561.93374099536,2459562.433740996,-6193.066474968461,-3208.79545724588,13.073079808150116
3128,3128,technosat,42829,59562.13501596078,2459562.635015961,-6182.494475279919,-3229.367428807179,13.05196719347037
3129,3129,technosat,42829,59562.336290914565,2459562.8362909146,-6171.853156159376,-3249.9040804074903,13.030518540437376
3130,3130,technosat,42829,59562.60465743067,2459563.1046574307,-6157.557891673002,-3277.2273756707864,12.997155276213803
3131,3131,technosat,42829,59562.60465743067,2459563.1046574307,-6157.557891673002,-3277.2273756707864,12.997155276213803
3132,3132,technosat,42829,59563.14139061328,2459563.6413906133,-6128.612496058113,-3331.687631750686,12.939015546280494
