,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
115,glonass-105,32276,58915.328927592374,2458915.8289275924,-13288.162258002982,2991.1905191135156,21592.579741564525,-13274.647981235705,2985.7057448431656,21567.362832513347
116,glonass-105,32276,58915.82477732655,2458916.3247773265,-18695.799193354927,-2726.2195010683254,17177.80983937021,-18683.924464149455,-2726.582992004105,17164.338874104655
117,glonass-105,32276,58915.96067892341,2458916.4606789234,-7257.093034396387,-14796.461849929008,-19473.945606216494,-7252.370259993631,-14785.023405071302,-19459.525427544166
118,glonass-105,32276,58916.85469116876,2458917.3546911688,-17848.736353771525,-15906.824579652908,-8946.99964316373,-17845.21039393707,-15903.838342326146,-8946.575265124686
119,glonass-105,32276,58916.99843131937,2458917.4984313194,18720.512373091195,2790.80382889734,-17059.73354600078,18708.86245287522,2787.293949854106,-17053.491203242906
120,glonass-105,32276,58917.37351814797,2458917.873518148,-5824.2123497521,-14313.744855711611,-20296.161725019225,-5823.104574157472,-14307.197368396222,-20287.07164640131
121,glonass-105,32276,58917.71536109969,2458918.2153610997,-20590.15470994084,-5533.228964552387,14055.30821938753,-20570.058171913548,-5528.779855057225,14040.671038646395
122,glonass-105,32276,58918.07040322898,2458918.570403229,7724.173553187495,14917.13240795263,19189.71924455004,7727.294939026765,14916.790480134949,19187.50141286917
123,glonass-105,32276,58918.61756901629,2458919.1175690163,-14183.822514287272,2195.940178607851,21113.563101791027,-14184.75513215211,2193.3032188451034,21112.78567952211
124,glonass-105,32276,58921.63499681698,2458922.134996817,5418.193313566344,-8830.10249140036,-23295.870357602886,5413.9944583124625,-8832.631762938006,-23297.411085715812
125,glonass-105,32276,58922.098321088124,2458922.598321088,3678.6100982849553,-9874.488536134479,-23218.498577771436,3673.8380018108587,-9876.419792111968,-23220.120510353645
126,glonass-105,32276,58922.57323001139,2458923.0732300114,5329.906802037431,-8884.861019527358,-23295.59976843513,5326.791922520962,-8886.866261517182,-23297.147023530677
127,glonass-105,32276,58923.24192078691,2458923.741920787,5004.975112251494,13981.680247964428,20737.554626236528,5005.555804505609,13980.818546429693,20736.316716356396
128,glonass-105,32276,58924.08318203688,2458924.583182037,22296.911874838406,11364.822598613742,-4787.910140788394,22297.196309192514,11361.205669373232,-4793.876556341774
129,glonass-105,32276,58924.46245089127,2458924.9624508913,8773.528965305177,-6593.196247664037,-23008.178571085722,8771.286691275925,-6595.256729194832,-23010.579459714965
130,glonass-105,32276,58924.81383684045,2458925.3138368404,-20627.77256976236,-14640.827712996426,-3474.394213502406,-20627.727351531146,-14641.519186933492,-3476.6236038210923
131,glonass-105,32276,58924.93852439802,2458925.438524398,10606.686028319657,-5230.902988606625,-22580.211419328483,10605.994958647925,-5232.037998827648,-22581.70737953535
132,glonass-105,32276,58925.71521577565,2458926.2152157756,-22264.632484879843,-9671.91681070034,7930.3332458483255,-22265.26465929345,-9671.708058105061,7930.009464674473
133,glonass-105,32276,58925.9316139468,2458926.431613947,21018.315409942505,6254.7672968206925,-12974.026068626776,21018.131288701083,6252.70127822497,-12976.69718071229
134,glonass-105,32276,58926.70841224538,2458927.2084122454,-18069.57194608468,-15775.262164326437,-8737.3669827159,-18070.091580537253,-15775.418017721911,-8738.56814857809
135,glonass-105,32276,58927.52304822905,2458928.023048229,-11618.316035769121,4462.067858530587,22287.076649324044,-11619.891981811756,4459.976901945429,22285.673691304273
136,glonass-105,32276,58927.63739083335,2458928.1373908333,-19611.195726592832,-15239.110128699587,-5917.134293491943,-19610.78879097916,-15239.940859646751,-5920.364875338312
137,glonass-105,32276,58928.522659999784,2458929.02266,-21907.520643735388,-8188.284691005608,10255.044986230543,-21908.32856160998,-8190.514272134234,10251.654162364082
138,glonass-105,32276,58928.794266736135,2458929.294266736,21433.05247977349,13750.047830054902,953.2427054318925,21432.815867530186,13749.62557889834,948.3956191150755
139,glonass-105,32276,58929.318156932946,2458929.818156933,11713.609752320372,15745.388382769806,16277.905206432564,11714.460857618473,15744.620272424616,16276.600550002684
140,glonass-105,32276,58929.60330625018,2458930.10330625,2694.6359698066117,-10417.25135797175,-23118.322906935533,2692.432153432523,-10418.66128118085,-23119.54119939382
141,glonass-105,32276,58930.0677004396,2458930.5677004396,1239.5312204720667,-11190.234095658714,-22881.730317256264,1235.7228320951135,-11191.167370422054,-22883.45635037995
142,glonass-105,32276,58930.46992785903,2458930.969927859,-16704.03615871631,-15969.374891707326,-10842.325769660787,-16702.725207660642,-15970.361224379152,-10846.662525213556
143,glonass-105,32276,58930.472764108796,2458930.972764109,-16125.64046437269,-16017.379474568546,-11617.392721955446,-16124.98437729351,-16018.41795014185,-11621.077655353867
144,glonass-105,32276,58931.117909803055,2458931.617909803,22356.30891596857,10618.225736967946,-6055.610382206538,22355.90666283401,10618.64621847051,-6054.923698228878
145,glonass-105,32276,58931.4876766433,2458931.9876766433,4847.773652702864,-9174.210709550556,-23290.23433701462,4845.254408242263,-9175.821909566022,-23292.022333718105
146,glonass-105,32276,58932.43320555566,2458932.9332055557,6870.0871390108305,-7904.203376393842,-23244.25738434803,6869.07341182309,-7905.400906327527,-23246.586934937175
147,glonass-105,32276,58933.381495173555,2458933.8814951736,9588.315469778652,-6021.709814772432,-22838.736481715743,9586.522054877869,-6023.836793196866,-22841.379565390773
148,glonass-105,32276,58933.85836905101,2458934.358369051,11596.643073054733,-4482.6341613400255,-22251.287890260264,11597.101499220258,-4483.1369395044185,-22253.181296656963
